sku,product_name,category,size_range,short_description,product_url
W77,Style W77/W77B AGS Flexible Coupling,Couplings,,"Style W77. Unique wedge shaped key profile increases allowable pipe end separation. Sizes from 14 - 78"" | DN350 - DN2000. Pressures up to 350 psi | 2413 kPa | 24 bar",https://www.victaulic.com/products/style-w77-w77b-ags-flexible-coupling/
358,Style 358 Reducing Coupling For CPVC/PVC Pipe,Couplings,,"Style 358. Designed for use on chlorinated polyvinyl chloride/polyvinyl chloride (CPVC/PVC) pipe featuring the Victaulic PGS-300 groove profile. Sizes from 2 1/2 x 2"" to 10 x 8""/73.0 x 60.3 mm to 273.0 x 219.1 mm. Refer to the submittal for maximum pressure ratings and temperature reduction factors",https://www.victaulic.com/products/style-358-reducing-coupling/
W07,Style W07 AGS Rigid Coupling,Couplings,,"Style W07. First flat pad, metal-to-metal, rigid coupling to be offered in this size range. Sizes from 14 - 50"" | DN350 - DN1250. Pressures up to 350 psi | 2413 kPa | 24 bar",https://www.victaulic.com/products/style-w07-ags-rigid-coupling/
W741,Style W741 AGS Flange Adapter,Fire Protection,,"Style W741. Designed for directly incorporating flanged components with ANSI Class 125-150 bolt hole patterns. Sizes from 14 - 24"" | DN350 - DN600. Pressures up to 300 psi | 2068 kPa | 21 bar",https://www.victaulic.com/products/style-w741-ags-vic-flange-adapter/
W07,Style W07 AGS Vic-Ring Rigid Coupling System,Couplings,,"Style W07 AGS™ Vic-Ring Rigid Coupling System. Coupling installs on the supplied ring to maintain full pipe wall thickness on abrasive systems. Sizes from 14 - 50"" | DN350 - DN1250. Pressures up to 350 psi | 2413 kPa | 24 bar",https://www.victaulic.com/products/style-w07-ags-vic-ring-rigid-coupling-system/
LW07,Style LW07 AGS Cast Carbon Steel Rigid Coupling,Couplings,,"Style LW07. First flat pad, metal-to-metal, rigid coupling to be offered in this size range. Sizes from 14 - 16” | DN350 - DN400. Pressures up to 740 psi | 5100 kPa | 51 bar",https://www.victaulic.com/products/style-l07-rigid-couplings-for-carbon-steel/
644,Installation-Ready™ Style 644 Transition Coupling,Couplings,,"Style 644. Provides a single coupling connection for grooved end stainless steel pipe to grooved end copper tubing of the same nominal size. Designed for use only on Types 304 and 316 Schedules 10S and 40S stainless steel pipe and ASTM B88 Types K, L and M and ASTM B306 Type DWV copper tubing. Sizes from 2 - 6",https://www.victaulic.com/products/style-644-installation-ready-transition-coupling-potable-water/
877N,QuickVic™ Installation-Ready™ Style 877N Flexible Coupling for Potable Water Applications,Couplings,,Style 877N. For use on stainless steel and galvanized carbon steel potable water piping systems only. Sizes from 2 - 8” | DN50 - DN200.,https://www.victaulic.com/products/style-877n-quickvic-installation-ready-flexible-coupling-for-potable-water-applications/
856,Installation-Ready™ Style 856 Transition Coupling for CPVC/PVC Pipe in Potable Water Applications,Couplings,,"Style 856. Designed for use on chlorinated polyvinyl chloride/polyvinyl chloride (CPVC/PVC) pipe featuring the Victaulic PGS-300 groove profile. Utilizes Grade P gasket material for improved resistance to typical potable water disinfectants. Sizes from 2 – 12""/DN50 – DN300",https://www.victaulic.com/products/style-856-installation-ready-transition-coupling-for-cpvc-pvc-pipe-in-potable-water-applications/
875,Style 875 Reducing Coupling for Potable Water Applications,Couplings,,Style 875. For use on stainless steel and galvanized carbon steel potable water piping systems only. Pressures up to 500 psi | 3447 kPa.,https://www.victaulic.com/products/style-875-reducing-coupling-for-potable-water-applications/
858,Style 858 Reducing Coupling for CPVC/PVC Pipe in Potable Water Applications,Couplings,,"Style 858. Designed for use on CPVC/PVC pipe featuring the Victaulic PGS-300 groove profile. Sizes: 2 ½ x 2"" to 10 x 8"" | 73.0 x 60.3 mm to 273.0 x 219.1 m",https://www.victaulic.com/products/style-858-reducing-coupling-for-cpvc-pvc-pipe-in-potable-water-applications/
841,Style 841 Vic-Flange Adapter for Potable Water Applications,Fire Protection,,Style 841 Vic-Flange Adapter for Potable Water Applications. Sizes from 2 – 12” | DN50 – DN300. Pressures up to 300 psi | 2068 kPa.,https://www.victaulic.com/products/style-841-vic-flange-adapter/
416,Series 416/E416 Stainless Steel Check Valve,Valves,,Sizes from 2 - 12″ | DN50 - DN300. Pressures up to 300 psi | 2068 kPa | 21 bar. Series 416: Features Original Groove System (OGS) grooved ends,https://www.victaulic.com/products/series-416e416-stainless-steel-check-valve/
P589,Vic-Press™ Series P589 Ball Valve,Valves,,"Series P589. Features a brass body with Style 304/316 stainless steel press ends. The three-piece swing-out design permits easy in-line maintenance.. Sizes from ½ - 2"" | DN15 - DN50",https://www.victaulic.com/products/style-p589-vic-press-brass-body-ball-valve-with-stainless-steel-press-ends-style-304316/
870,Style 870 High Performance Rigid Coupling,Couplings,,"Style 870. Sizes from 2 - 8"" | DN50 - DN200. Steam applications: Pressure up to 200 psi | 1379 kPa. Non-steam applications: Full vacuum up to 740 psi | 5102 kPa",https://www.victaulic.com/products/style-870-rigid-coupling/
,Steam and Condensate Drip Leg Fittings,Fittings,,"Manufactured drip leg with drain capabilities suitable for manual or automatic warm-up. Uses ¾"" NPT ball valve for draining.",https://www.victaulic.com/products/steam-and-condensate-drip-leg-fittings/
108,FireLock™ IGS™ Installation-Ready™ Style 108 Rigid Coupling,Couplings,,"Style 108. Patented one-bolt coupling. Utilizes the Victaulic proprietary IGS™ groove specification.. Optimized for 1"" | DN25 pipe",https://www.victaulic.com/products/style-108-firelock-igs-installation-ready-rigid-coupling/
V9,Style V9 FireLock™ IGS™ Installation-Ready™ Sprinkler Coupling,Sprinklers,,"Style V9. Sprinkler Connections: 1"" | DN25, ¾""| DN20, ½""| DN15. One-Bolt coupling, optimized for sprinkler installation. Utilizes the proprietary IGS™ groove specification",https://www.victaulic.com/products/style-v9-firelock-igs-installation-ready-sprinkler-coupling/
009N,FireLock EZ™ Style 009N Rigid Coupling,Couplings,,"Style 009N. Angled bolt pad provides rigidity. Sizes from 1¼ - 12"" | DN32 - DN300. Pressures up to 365 psi | 2517 kPa | 25 bar",https://www.victaulic.com/products/style-009n-firelock-ez-rigid-coupling/
177N,QuickVic™ Style 177N Flexible Coupling,Couplings,,"Style 177N. Sizes from 2 - 8"" | DN50 - DN200. Pressures up to 1000 psi | 6895 kPa | 69 bar. Optional galvanized coating",https://www.victaulic.com/products/style-177n-quickvic-flexible-coupling/
171,Installation-Ready™ Style 171 Flexible Composite Coupling,Couplings,,Style 171. For use where corrosive conditions exist. Designed for use on reverse osmosis systems. For use on roll/cut grooved PVC,https://www.victaulic.com/products/style-171-flexible-composite-coupling/
109,FireLock™ Installation-Ready™ Style 109 One-Bolt Rigid Coupling,Couplings,,"Style 109. Added confidence of single pad to pad visual confirmation. Sizes from 1 1/4 - 2 1/2"" | DN32 - 73.00 mm. Pressures up to 365 psi | 2517 kPa | 25 bar",https://www.victaulic.com/products/style-109-firelock-installation-ready-one-bolt-rigid-coupling/
968-F,Series 968-F Strainer,Fire Protection,,Victaulic Series 968-F | Bermad Model BC-70F-P (Ductile iron body) – Pressure up to 400 psi | 2758 kPa |28 bar. Also available: Victaulic Series 968-F-SS (Stainless steel body) – Pressure up to 400 psi | 2758 kPa |28 bar. Also available: Victaulic Series 969-F | Bermad Model BC-80F-P – Pressur,https://www.victaulic.com/products/bermad-model-bc-80f-p-victaulic-series-969-f-strainer/
866-460,Series 866-460 Level Control Valve,Valves,,"Designed for Fire Protection applications. Hydraulically controlled, diaphragm actuated valve that controls reservoir filling to maintain constant water level, regardless of fluctuating demand. Globe valve body (Series 800E)",https://www.victaulic.com/products/series-866-460-level-control-valve/
866-465,Series 866-465 Level Control Valve,Valves,,"Designed for Fire Protection applications. Hydraulically controlled, diaphragm actuated valve that controls reservoir filling in response to electric float switch signals. Globe valve body (Series 800E)",https://www.victaulic.com/products/series-866-465-level-control-valve/
866-482,Series 866-482 Level Control Valve,Valves,,"Designed for Fire Protection applications. Hydraulically controlled, diaphragm actuated valve that shuts off at a pre-set reservoir full level and opens in response to a sensor in the 3-way altitude pilot mounted on the main valve. Globe valve body (Series 800E)",https://www.victaulic.com/products/series-866-482-level-control-valve/
866-466,Series 866-466 Level Control Valve,Valves,,"Designed for Fire Protection applications. Hydraulically controlled, diaphragm actuated control valve that controls reservoir filling in response to a hydraulic on-off float pressure commands. Globe valve body (Series 800E)",https://www.victaulic.com/products/series-866-466-level-control-valve/
PC3110,PC3110 Cut & Mark Tool,Fire Protection,,Cut and marks ½ - 2”/DN15 - DN50 Schedules 10 through 80 carbon steel pipe. Knurled markings on pipe display clear insertion depth for proper coupling/fitting installation First mark: Proper insertion depth for ½ - 1 ¼”/DN15 - DN25 couplings and fittings Second mark: Proper insertion,https://www.victaulic.com/products/pc3110-cut-mark-tool/
RG3600,RG3600 StrengThin™ 100 Roll Grooving Tool,Fire Protection,,"Portable light-weight field roll grooving tool. Supplied with StrengThin™ 100 roll sets. Regional availability, contact Victaulic for details",https://www.victaulic.com/products/model-rg3600-strengthin-100-roll-groover/
VG824,VG824 Cut Grooving Tools,Fire Protection,,VG824 produces a single OGS cut groove for unlined piping systems. VG824-ABR produces a single OGS cut groove that allows for lining of the pipe for abrasive services. VG824DG produced a double OGS cut groove for high-pressure piping systems in conjunction with installing 8 – 12”|DN200 – DN300,https://www.victaulic.com/products/vg824-cut-grooving-tools/
VG828,VG828 Cut Grooving Tool,Fire Protection,,"VG828 will produce a single AGS™ cut groove. The VG828 is designed to be driven by the Power Mule II. Drive Requirements: External drive, min. 1½ hp | 1.12 kw",https://www.victaulic.com/products/style-vg828-vic-adjustable-cut-grooving-tool/
,Vic™-Tap II Hole Cutting Tool,Fire Protection,,"Hole cutting tool including Style 931 Vic-Tap II Mechanical-T unit for tapping into steel pipe systems under pressure up to 500 psi | 3447 kPa | 34 bar. Hole size 2 3/8""| 60.5 mm. Power Requirements: 115 volt, single phase, 60 hertz, 7.5 amp",https://www.victaulic.com/products/vic-tap-ii-hole-cutting-tool/
VE26,VE26 Roll Grooving Tool,Fire Protection,,Tool is manually operated using the supplied crank. Enhanced tracking rolls allow bi-directional grooving. Optional power drive adapter kit available to alternately groove pipe using a Ridgid® 300 power drive or VPD752,https://www.victaulic.com/products/style-ve26-vic-easy-field-roll-grooving-tool/
VE268,VE268 Roll Grooving Tool,Fire Protection,,"The fully-motorized, semi-automatic, electrohydraulic tool comes complete with safety guards and safety foot switch. Equipped with a unique pivot arm design, making roll changes quick and easy, without removing shafts. Enhanced tracking rolls help to keep the pipe on the tool during the roll groovin",https://www.victaulic.com/products/style-ve268-vic-easy-shop-roll-grooving-tool/
VE460,VE460 Roll Grooving Tool,Fire Protection,,"The fully-motorized, semi-automatic, electrohydraulic tool comes complete with safety guards and safety foot switch. Enhanced tracking rolls help to keep the pipe on the tool during the roll grooving process. Support bases are required to groove pipe sizes 26""| DN650 and larger. Each support base is",https://www.victaulic.com/products/style-ve460-vic-easy-shop-roll-grooving-tool/
VG26,VG26/VG28 Cut Grooving Tool,Fire Protection,,VG28GD produces a single OGS cut groove for unlined piping systems.. VG28GD-ABR produces a single OGS cut groove that allows for lining of the pipe for abrasive services. VG26GD-COR produces a single cut groove in preparation for being rubber lined and machined for abrasion and corrosion resistance,https://www.victaulic.com/products/vg26-vg28-cut-grooving-tools/
,VE414MC Roll Grooving Tool,Fire Protection,,"The fully-motorized, semi-automatic, electrohydraulic tool comes complete with safety guards and safety foot switch. Roll changes are quick and easy, without removing shafts. Enhanced tracking rolls help to keep the pipe on the tool during the roll grooving process",https://www.victaulic.com/products/style-ve414mc-vic-easy-shop-roll-grooving-tool/
VE106,VE106/VE107 Roll Grooving Tool,Fire Protection,,"Mobile light-duty roll grooving tool with an integral motor/drive unit mounted to portable hand truck. Reduces pipe handling by allowing the tool to be wheeled directly to the pipe preparation site. 3/8""| 9.5 mm square ratchet drive for operation (standard)",https://www.victaulic.com/products/style-ve106ve107-vic-easy-field-roll-grooving-tool/
CG1100,CG1100 Cut Grooving Tool,Fire Protection,,"2 - 12""/DN50 - DN300. Portable light weight field or shop fabrication tool. Designed to provide a radius PGS-300 cut groove in Schedule 40 - 80 CPVC/PVC pipe",https://www.victaulic.com/products/cg1100-cut-grooving-tool-cpvcpvc-pipe/
VG412,VG412 Orbital Cut Grooving Tool,Fire Protection,,Specifically designed for field closure pieces (not suitable for production grooving). External mounting and drive action is particularly suited to cement lined ductile iron pipe grooving. Hinged frame design allows cutting at any point along the pipeline,https://www.victaulic.com/products/style-vg412-orbital-cut-grooving-tool/
,VE436MC Tool Conversion Kit,Fire Protection,,Allows for ease of upper roll set change,https://www.victaulic.com/products/style-ve436mc-vic-easy-tool-conversion-kit/
,VE450FSD Roll Grooving Tool,Fire Protection,,"The VE450FSD is designed for field production grooving and not continuous fabrication shop production grooving. Enhanced tracking rolls help to keep the pipe on the tool during the roll grooving process, and quickly change upper roll design. Lifting point to move the tool using a crane",https://www.victaulic.com/products/style-ve450fsd-vic-easy-field-roll-grooving-tool/
,VCT2 Automatic Pipe Cut-Off Tool,Fire Protection,,"Rotation is powered by a small 120 VAC motor with SCR remote control. Unique distributor design has stainless steel insert which extends tip life, eases cleaning and reduces backfire. Wall thickness: 0.065 - 0.500""| 1.65 - 12.7 mm (with tips supplied)",https://www.victaulic.com/products/style-vct2-pipe-cut-off-tool/
,VCT1 Manual Pipe Cut-Off Tool,Fire Protection,,"Lightweight and portable pipe cut-off tool handles 4 - 24""| DN100 - DN600 pipe, up to 0.5""| 12.7 mm thick. Worm gear drive crank handle provides smooth, manual travel, easy control, and accurate cutting. Wall thickness: 0.065 - 0.500""| 1.65 - 12.7 mm (with tips supplied)",https://www.victaulic.com/products/style-vct1-pipe-cut-off-tool/
,HCT908 Hole Cutting Tool,Fire Protection,,"One-piece hole cutting tool designed to cut holes up to 2 3/4""| DN120 in carbon and stainless steel pipe; for pipe sizes up to 8"" | DN200. Allows use of various Victaulic outlets. Power Requirements: 110 volt, single phase, 60 hertz, 7 amp",https://www.victaulic.com/products/style-hct908-hole-cutting-tool/
,CTH-02 Large 25-Ton Hydraulic Tool,Fire Protection,,Eases installation of Victaulic bolted split sleeve couplings. This tool is specifically designed for high pressure coupling assembly,https://www.victaulic.com/products/style-cth-02-hydraulic-assembly-closure-tool/
,RG5200i Intelligent Roll Grooving Tool,Fire Protection,,"Fully-automated, hydraulic shop tool is shipped fully assembled with proximity scanner, control stand and rolls for standard grooving (4 – 24” | DN100 – DN600) Schedule 10 – 40 pipe. Enhanced tracking rolls help to keep the pipe on the tool during the roll grooving process. Tool ships with 4",https://www.victaulic.com/products/rg5200i-intelligent-roll-grooving-tool/
,CTH-01 Small 10-Ton Hydraulic Tool,Fire Protection,,Eases installation of all styles of Victaulic bolted split sleeve couplings,https://www.victaulic.com/products/style-cth-01-hydraulic-assembly-closure-tool/
,Victaulic Aquamine™ APG Grooving Tool,Fire Protection,,"PVC 1120 Type 1, grade 1 (class 12454) conforming to ASTM D-1784 and ASTM D-2241. Sizes from 2 - 12"" | 50 - 300 mm. Pressures up to 350 psi | 2413 kPa | 24 bar",https://www.victaulic.com/products/2009/
,Power Mule II Tool Power Drive,Fire Protection,,"Ideal for driving individual Victaulic® cut grooving tools. Heavy-duty, two wheeled unit drives Victaulic cut grooving tools at the speed/power necessary for accurate grooving. Rotating head for horizontal and vertical applications",https://www.victaulic.com/products/mule-ii-vic-easy-tool-power-drive/
,HCT904 Hole Cutting Tool,Fire Protection,,"One piece hole cutting tool designed to cut holes up to 2 3/4""| DN70 carbon and stainless steel pipe with OD up to 8"" | DN200. Allows for use of Mechanical-T, Vic-Let, and Vic-O-Well outlets. Tool is available only in Europe",https://www.victaulic.com/products/style-hct904-hole-cutting-tool/
VE226,VE226 Power Drive Kit,Fire Protection,,Kit for connecting a VE226 roll grooving tool to a Ridgid® 700 Power Drive. Weight: 75 lbs. | 34 kg,https://www.victaulic.com/products/style-ve226-vic-easy-power-drive-kit/
PT100A,"PT100A, PT101, PT102A Pipe Diameter Tapes",Fire Protection,,"Go/No-Go pocket-sized steel tapes for taking circumferential measurements, marked in 1/100ths of an inch increments. Go/No-Go side can be used to check cut or roll grooved pipe for conformance to Victaulic grooved pipe specifications. Tapes notched on the lead end to allow proper overlap within the",https://www.victaulic.com/products/style-pt100a-pipe-diameter-tape/
,RG1 Manual Roll Grooving Tool,Fire Protection,,"Roll grooves 1""|DN25 carbon steel pipe. Designed to provide a Victaulic IGS™ groove in Schedule 10 carbon steel pipe. Tool is manually operated using the supplied handle",https://www.victaulic.com/products/rg1-manual-roll-grooving-tool/
RG2910,RG2910 Roll Grooving Tool,Fire Protection,,"RG2910 Roll Grooving Tool | Forms a 1"" | DN25 IGS™ groove. Fast, mess-free solution eliminating the need for threading.",https://www.victaulic.com/products/rg2910-roll-grooving-tool/
FL-QR,FireLock™ Series FL-QR/DRY/VSW Sprinklers,Sprinklers,,"FireLock™ Series FL-QR/DRY/VSW Sprinklers: V5643, K5.6 | 8.1 SI, V8143, K8.0 | 11.5 SI",https://www.victaulic.com/products/firelock-series-fl-qr-dry-vsw-sprinkler/
FL-SR,FireLock™ Series FL-SR/DRY/VSW Sprinklers,Sprinklers,,"FireLock™ Series FL-SR/DRY/VSW Sprinklers: V5687, K5.6 | 8.1 SI, V8187, K8.0 | 11.5 SI",https://www.victaulic.com/products/firelock-series-fl-sr-dry-vsw-sprinklers/
465,Series 465 MTS Plug Valve,Valves,,"Typically used in reverse osmosis desalination plants for on/off and control services. Available without operator or with manual, pneumatic, hydraulic and electric actuators. Features grooved ends for installation in either StrengThin Systems or OGS",https://www.victaulic.com/products/series-465-mts-plug-valve/
ABBA,VicFlex™ Style ABBA Bracket,Fire Protection,,"Style ABBA. Designed for pendent and sidewall applications, allowing for a flexible hose connection from the branch line to the sprinkler head. Universal square bar nominal length of 14"" | 355.6mm, designed to work down to 4"" | 101.6mm clearance from face of ceiling. Regionally available, contact Victaulic fo",https://www.victaulic.com/products/vicflex-style-abba-bracket/
AB5,VicFlex™ Style AB5 Bracket,Fire Protection,,Style AB5. Optimized for Wood and Metal Studs. No screws for metal studs; one-screw per side for wood studs. In-room elevation center bracket allows vertical adjustment without breaking the ceiling plane,https://www.victaulic.com/products/vicflex-style-ab5-bracket/
AB3,VicFlex™ Style AB3 Bracket – Surface Mount,Fire Protection,,"Style AB3. One-piece bracket, for institutional applications. Up to 10× faster than threaded black pipe, eliminate messy cutting tools. Reducer nipples sizes 5.75"" | 140 mm, 9.0"" | 230 mm, and 13"" | 330 mm",https://www.victaulic.com/products/style-ab3-vicflex-bracket-surface-mount/
AB4,VicFlex™ Style AB4 Bracket – Hat Channel,Fire Protection,,"Style AB4. One-piece bracket, for hard-lid ceilings with hat furring channel grid system. Up to 10× faster than threaded black pipe, eliminate messy cutting tools. In-room elevation center bracket allows vertical adjustment without breaking the ceiling plane",https://www.victaulic.com/products/style-ab4-vicflex-bracket-hat-channel/
AB7,VicFlex™ Style AB7 Bracket,Fire Protection,,"Style AB7 bracket. One-piece bracket, for suspended or hard-lid ceilings. Up to 10× faster than threaded black pipe, eliminate messy cutting tools. Sizes 24"" | 610 mm and 48"" | 1219 mm",https://www.victaulic.com/products/vicflex-style-ab7-bracket/
AB12,VicFlex™ Style AB12 Bracket,Fire Protection,,"Style AB12. Designed to work from 36"" | 914mm down to 4"" | 100mm clearance from face of ceiling. Allows installation before ceiling tile, eliminate messy cutting tools. Standardized opening accepts 3/8""/M10 standard threaded rod",https://www.victaulic.com/products/vicflex-style-ab12-bracket/
AB6,VicFlex™ Style AB6 Assembly – Cold Storage,Fire Protection,,"Style AB6. Dry Sprinklers Available: V33, V36 or V40. Hoses Available: Series AH2-CC, Series AH2. Cold storage applications",https://www.victaulic.com/products/vicflex-style-ab6-bracket-cold-storage/
L07,Style L07 Cast Carbon Steel Rigid Coupling,Couplings,,Style L07. Angled bolt pad housing design provides rigidity. Sizes from 2 - 12” | DN50 - DN300. Pressures up to 750 psi | 5171 kPa | 52 bar,https://www.victaulic.com/products/style-l07-rigid-couplings-for-carbon-steel-2/
W710,Series W710 AGS Double Eccentric Butterfly Valve (Asia Pacific Only),Valves,,Series W710 AGS Double Eccentric Butterfly Valve | Sizes from 14 – 24” / DN350 – DN600,https://www.victaulic.com/products/series-w710-ags-double-eccentric-butterfly-valve/
726,Series 726 Ball Valve,Valves,,"High pressure standard port ball valve with grooved ends. Available without handle, with a lever operator or a gear operator. Sizes from 1½ - 6"" | 40 - 150 mm",https://www.victaulic.com/products/series-726-ball-valve/
AB10,VicFlex™ Style AB10 Bracket – Armstrong® Tech Zone™,Fire Protection,,"Style AB10. One-piece bracket, for Armstrong® TechZone™ ceilings. Eliminate messy cutting tools. Sizes 6"" | 150 mm",https://www.victaulic.com/products/vicflex-style-ab10-bracket/
AH1,VicFlex™ Series AH1 Braided Hose,Fire Protection,,"Up to 10× faster than threaded black pipe, 100% kink resistant. Minimum bend radius: cULus 3"" | 76 mm, FM 7"" | 178 mm, VdS 3"" | 76 mm. Sizes from 31 - 72"" | 790 - 1830 mm",https://www.victaulic.com/products/vicflex-series-ah1-braided-hose/
AH2-CC,VicFlex™ Series AH2-CC Braided Hose,Fire Protection,,"Patented captured coupling technology; allows fast, safe installation and pad to pad visual confirmation. Tightest bends available; 100% kink resistant. Minimum bend radius: cULus 2"" | 51 mm, FM 7"" | 178 mm, VdS/LPCB 3"" | 76.2 mm",https://www.victaulic.com/products/vicflex-series-ah2-cc-braided-hose/
AH2-300,VicFlex™ Series AH2-300 Braided Hose,Fire Protection,,"High pressure hose; 100% Victaulic design and manufacturing. Up to 10× faster than threaded black pipe, 100% kink resistant. Minimum bend radius: FM 8"" | 200 mm",https://www.victaulic.com/products/vicflex-series-ah2-300-braided-hose/
ABMM,VicFlex™ Style ABMM Bracket,Fire Protection,,"Style ABMM. Designed for surface mount and stand off-mount applications, wood, metal and block walls or ceilings, and hard-lid ceilings. Regionally available, contact Victaulic for details",https://www.victaulic.com/products/vicflex-style-abmm-bracket/
AH1-CC,VICFLEX™ SERIES AH1-CC BRAIDED HOSE,Fire Protection,,"Patented captured coupling technology; allows fast, safe installation and pad to pad visual confirmation. Up to 10× faster than threaded black pipe, 100% kink resistant. Minimum bend radius: cULus - 3″ | 76 mm, FM - 7″ | 178 mm, VdS - 3″ | 76 mm",https://www.victaulic.com/products/vicflex-series-ah1-cc-braided-hose/
726D,Series 726D Super Duplex Ball Valve,Valves,,"High pressure super duplex stainless steel standard port ball valve with grooved ends. Sizes from 2 - 6"" | DN50 - DN150. Pressures up to 1200 psi | 8274 kPa | 83 bar",https://www.victaulic.com/products/series-726d-ball-super-duplex-valve/
FL-SR,FireLock™ Series FL-SR/ST/INT Sprinklers,Sprinklers,,"Upright with Shield: V2721, K5.6 | 8.1 SI V3417, K8.0 | 11.5 SI V3429, K11.2 | 16.1 SI Upright: […]",https://www.victaulic.com/products/firelock-series-fl-sr-st-int-sprinklers/
FL-SA,FireLock™ Series FL-SA/BB Attic Sprinklers,Sprinklers,,"FireLock™ Series FL-SA/BB Attic Sprinklers: V8122, K8.0 | 11.5 SI, V8123, K8.0 | 11.5 SI, V8124, K8.0 | 11.5 SI | Back-to-Back Attic Protection Scheme",https://www.victaulic.com/products/firelock-series-fl-sa-bb-sprinklers/
E155,StrengThin™ 100 E155 Expansion Joint,Couplings,,"Style E155. Designed for thin wall stainless steel pipe. Style E155 expansion joints are rated to the working pressure of the coupling used. Sizes from 2 - 12"" | DN50 - DN300",https://www.victaulic.com/products/style-e155-strengthin-100-expansion-joint/
E431,StrengThin™ 100 E431 Suction Diffuser,Fire Protection,,"Allows piping assembly at a 90 angle from the pump, saving valuable space in the mechanical room. Available flanged connections: PN10/PN16.",https://www.victaulic.com/products/series-e431-strengthin-100-suction-diffuser/
UTD,Series UTD Universal Test and Drain,Fire Protection,,"Test Orifice K-Factor and Connections per Size: 1″ | DN25 – K2.8 (4.0 SI), NPT/IGS™ 1 1/4″ | DN32 […]",https://www.victaulic.com/products/series-utd-universal-test-and-drain/
713,Series 713 Swing Check Valve,Valves,,"High pressure Check valve designed for use with Victaulic grooved fittings and couplings for fast installation on inlet and outlet ports.. Sizes from 2 - 4"" | DN50 - DN100. Pressures up to 1000 psi | 6895 kPa | 69 bar for 2"" | DN50 and 750 psi | 5171 kPa | 52 bar for 2½ - 4"" | DN63 - DN100",https://www.victaulic.com/products/series-713-swing-check-valve/
UMC,Series UMC Universal Manifold Check Assembly,Valves,,"Straight out of the box, the unit integrates all necessary pre-mounted components: control valve, check valve, flow switch, test drain, pressure relief kit and gauges.. Sizes from 1¼ – 8″ | DN32 – DN200. Pressures up to 300 psi | 2068 kPa | 20.6 bar",https://www.victaulic.com/products/series-umc-universal-manifold-check-assembly/
771M,Series 771M OS&Y Gate Valve,Valves,,"Available as Groove × Groove or Groove × Flange. Used for on/off service only. Sizes from 2½ - 12"" | DN65 - DN300",https://www.victaulic.com/products/series-771m-osy-gate-valve/
727,Series 727 Ball Valve,Valves,,"High-pressure, enhanced port, NACE-compliant ball valve. Up to 1/3 better flow than competitive standard port ball valves. Floating ball reduces torque requirements",https://www.victaulic.com/products/series-727-ball-valve/
2957,Aquamine™ Series 2957 Butterfly Valve,Valves,,Aquamine™ Series 2957 Butterfly Valve is designed for bi-directional service to full working pressure.,https://www.victaulic.com/products/series-2957-aquamine-butterfly-valve/
VE872,VE872 Roll Grooving Tool,Fire Protection,,"The fully-motorized, semi-automatic, electrohydraulic tool comes complete with safety guards and safety foot switch.",https://www.victaulic.com/products/style-ve872-roll-grooving-tool/
FL-SR,FireLock™ Series FL-SR/ST Sprinklers,Sprinklers,,"V3403, K11.2 | 16.1 SI, Upright V3407, K11.2 | 16.1 SI, Pendent",https://www.victaulic.com/products/firelock-series-fl-r-st-sprinklers/
FL-RES,FireLock™ Series FL-RES Sprinklers,Sprinklers,,"FireLock™ Series FL-RES Sprinklers: V3010, K3.0 | 4.3 SI, V2740, K4.9 | 7.1 SI, V5610, K5.6 | 8.1 SI, V3426, K6.9 | 9.9 SI",https://www.victaulic.com/products/firelock-series-fl-res-sprinklers/
FL-SR,FireLock™ Series FL-SR/EUR Sprinklers,Sprinklers,,"V2727, K5.6 | 8.1 SI V3423, K8.0 | 11.5 SI",https://www.victaulic.com/products/firelock-series-fl-sr-eur-sprinklers/
FL-QR,FireLock™ Series FL-QR/DRY/C Sprinklers,Sprinklers,,FireLock™ Series FL-QR/DRY/C. Light | Ordinary. K5.6 | S.I.8.1,https://www.victaulic.com/products/firelock-model-v3302/
FL-SR,FireLock™ Series FL-SR/DRY/C Sprinklers,Sprinklers,,FireLock™ Series FL-SR/DRY/C. Light | Ordinary. K5.6 | S.I.8.1,https://www.victaulic.com/products/firelock-model-v3301/
FL-SR,FireLock™ Series FL-SR/DRY/SW Sprinklers,Sprinklers,,FireLock™ Series FL-SR/DRY/SW. Light Hazard. K5.6 | S.I.8.1,https://www.victaulic.com/products/firelock-model-v3609/
372,Series 372 Non Rising Stem (NRS) Gate Valve,Valves,,Series 372 Non Rising Stem (NRS). Available Sizes: 2 ½” - 16” IPS. Pressure Class: 250 psi /1725 kPa /17 Bar. Operating Temperature: -20°F to + 180°F/-29°C to +82°C,https://www.victaulic.com/products/series-372-non-rising-stem-nrs-gate-valve/
2930,Aquamine™ Series 2930 Outlet Coupling,Couplings,,"Series 2930. Sizes from 2 - 12"" | DN50 - DN300. Pressures up to 350 psi | 2413 kPa | 24 bar",https://www.victaulic.com/products/series-2930-aquamine-outlet-coupling/
,"Aquamine™ Styles 2937, 2938 & 2939 Formed Outlet Coupling",Couplings,,"Styles 2937, 2938 & 2939. Sizes from 2 - 12"" | DN50 - DN300. Pressures up to 350 psi | 2413 kPa | 24 bar",https://www.victaulic.com/products/styles-2937-2938-2939-aquamine-formed-outlet-coupling/
